127.0.0.1 - - [17/Nov/2020:16:24:06 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:46 -0300] "GET /MakeAndCia/js/CadastroUsuario.js HTTP/1.1" 200 6020
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:46 -0300] "GET /MakeAndCia/js/Vendas.js HTTP/1.1" 200 4899
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:46 -0300] "GET /MakeAndCia/js/Categoria.js HTTP/1.1" 200 5234
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:46 -0300] "GET /MakeAndCia/js/Fornecedor.js HTTP/1.1" 200 5594
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:46 -0300] "GET /MakeAndCia/js/ContasPagar.js HTTP/1.1" 200 5703
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:46 -0300] "GET /MakeAndCia/js/ContasReceber.js HTTP/1.1" 200 5797
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:46 -0300] "GET /MakeAndCia/js/bootstrap-notify.min.js HTTP/1.1" 200 8976
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:46 -0300] "GET /MakeAndCia/index.js HTTP/1.1" 200 5572
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:46 -0300] "GET /MakeAndCia/dist/img/avatar5.png HTTP/1.1" 200 7578
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:46 -0300] "GET /MakeAndCia/bower_components/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:46 -0300] "GET /MakeAndCia/Controller?service=DadosSessao HTTP/1.1" 200 80
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:46 -0300] "GET /MakeAndCia/Controller?service=ListarProduto&identCad=&preCarQuantidade= HTTP/1.1" 200 619
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:46 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:46 -0300] "GET /MakeAndCia/images/sort_both.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:46 -0300] "GET /MakeAndCia/images/sort_asc.png HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:46 -0300] "GET /MakeAndCia/index.html HTTP/1.1" 200 34678
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:46 -0300] "GET /MakeAndCia/bower_components/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 200 121205
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:46 -0300] "GET /MakeAndCia/bower_components/Ionicons/css/ionicons.min.css HTTP/1.1" 200 51295
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:46 -0300] "GET /MakeAndCia/bower_components/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 31004
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:46 -0300] "GET /MakeAndCia/dist/css/AdminLTE.min.css HTTP/1.1" 200 91507
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:46 -0300] "GET /MakeAndCia/dist/css/skins/skin-blue.min.css HTTP/1.1" 200 3156
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:46 -0300] "GET /MakeAndCia/data-table/jquery.dataTables.min.css HTTP/1.1" 200 14111
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:46 -0300] "GET /MakeAndCia/data-table/jquery.dataTables.min.js HTTP/1.1" 200 86734
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:46 -0300] "GET /MakeAndCia/js/util.js HTTP/1.1" 200 552
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:46 -0300] "GET /MakeAndCia/js/CadastroProduto.js HTTP/1.1" 200 5659
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:46 -0300] "GET /MakeAndCia/js/CadastroUsuario.js HTTP/1.1" 200 6020
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:46 -0300] "GET /MakeAndCia/js/Vendas.js HTTP/1.1" 200 4899
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:46 -0300] "GET /MakeAndCia/js/Categoria.js HTTP/1.1" 200 5234
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:46 -0300] "GET /MakeAndCia/js/Fornecedor.js HTTP/1.1" 200 5594
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:46 -0300] "GET /MakeAndCia/js/ContasPagar.js HTTP/1.1" 200 5703
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:46 -0300] "GET /MakeAndCia/js/ContasReceber.js HTTP/1.1" 200 5797
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:46 -0300] "GET /MakeAndCia/js/bootstrap-notify.min.js HTTP/1.1" 200 8976
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:46 -0300] "GET /MakeAndCia/index.js HTTP/1.1" 200 5572
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:46 -0300] "GET /MakeAndCia/dist/img/avatar5.png HTTP/1.1" 200 7578
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:46 -0300] "GET /MakeAndCia/bower_components/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:46 -0300] "GET /MakeAndCia/Controller?service=DadosSessao HTTP/1.1" 200 80
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:46 -0300] "GET /MakeAndCia/Controller?service=ListarProduto&identCad=&preCarQuantidade= HTTP/1.1" 200 619
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:46 -0300] "GET /MakeAndCia/images/sort_both.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:46 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:46 -0300] "GET /MakeAndCia/images/sort_asc.png HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:46 -0300] "GET /MakeAndCia/index.html HTTP/1.1" 200 34678
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:46 -0300] "GET /MakeAndCia/bower_components/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 200 121205
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:46 -0300] "GET /MakeAndCia/bower_components/Ionicons/css/ionicons.min.css HTTP/1.1" 200 51295
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:46 -0300] "GET /MakeAndCia/dist/css/AdminLTE.min.css HTTP/1.1" 200 91507
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:46 -0300] "GET /MakeAndCia/bower_components/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 31004
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:46 -0300] "GET /MakeAndCia/dist/css/skins/skin-blue.min.css HTTP/1.1" 200 3156
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:46 -0300] "GET /MakeAndCia/data-table/jquery.dataTables.min.css HTTP/1.1" 200 14111
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:46 -0300] "GET /MakeAndCia/data-table/jquery.dataTables.min.js HTTP/1.1" 200 86734
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:46 -0300] "GET /MakeAndCia/js/util.js HTTP/1.1" 200 552
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:46 -0300] "GET /MakeAndCia/js/CadastroProduto.js HTTP/1.1" 200 5659
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:46 -0300] "GET /MakeAndCia/js/Vendas.js HTTP/1.1" 200 4899
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:46 -0300] "GET /MakeAndCia/js/CadastroUsuario.js HTTP/1.1" 200 6020
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:46 -0300] "GET /MakeAndCia/js/Categoria.js HTTP/1.1" 200 5234
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:46 -0300] "GET /MakeAndCia/js/ContasPagar.js HTTP/1.1" 200 5703
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:46 -0300] "GET /MakeAndCia/js/Fornecedor.js HTTP/1.1" 200 5594
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:46 -0300] "GET /MakeAndCia/js/ContasReceber.js HTTP/1.1" 200 5797
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:46 -0300] "GET /MakeAndCia/js/bootstrap-notify.min.js HTTP/1.1" 200 8976
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:46 -0300] "GET /MakeAndCia/index.js HTTP/1.1" 200 5572
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:46 -0300] "GET /MakeAndCia/dist/img/avatar5.png HTTP/1.1" 200 7578
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:46 -0300] "GET /MakeAndCia/bower_components/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:46 -0300] "GET /MakeAndCia/Controller?service=DadosSessao HTTP/1.1" 200 80
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:46 -0300] "GET /MakeAndCia/Controller?service=ListarProduto&identCad=&preCarQuantidade= HTTP/1.1" 200 619
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:46 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:46 -0300] "GET /MakeAndCia/images/sort_both.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:46 -0300] "GET /MakeAndCia/images/sort_asc.png HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/index.html HTTP/1.1" 200 34678
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/bower_components/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 200 121205
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/bower_components/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 31004
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/dist/css/skins/skin-blue.min.css HTTP/1.1" 200 3156
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/bower_components/Ionicons/css/ionicons.min.css HTTP/1.1" 200 51295
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/dist/css/AdminLTE.min.css HTTP/1.1" 200 91507
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/data-table/jquery.dataTables.min.css HTTP/1.1" 200 14111
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/js/util.js HTTP/1.1" 200 552
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/data-table/jquery.dataTables.min.js HTTP/1.1" 200 86734
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/js/CadastroProduto.js HTTP/1.1" 200 5659
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/js/CadastroUsuario.js HTTP/1.1" 200 6020
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/js/Vendas.js HTTP/1.1" 200 4899
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/js/Categoria.js HTTP/1.1" 200 5234
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/js/Fornecedor.js HTTP/1.1" 200 5594
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/js/ContasPagar.js HTTP/1.1" 200 5703
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/js/bootstrap-notify.min.js HTTP/1.1" 200 8976
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/js/ContasReceber.js HTTP/1.1" 200 5797
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/index.js HTTP/1.1" 200 5572
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/dist/img/avatar5.png HTTP/1.1" 200 7578
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/bower_components/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/Controller?service=DadosSessao HTTP/1.1" 200 80
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/Controller?service=ListarProduto&identCad=&preCarQuantidade= HTTP/1.1" 200 619
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/images/sort_both.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/images/sort_asc.png HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/index.html HTTP/1.1" 200 34678
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/bower_components/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 200 121205
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/bower_components/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 31004
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/bower_components/Ionicons/css/ionicons.min.css HTTP/1.1" 200 51295
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/dist/css/AdminLTE.min.css HTTP/1.1" 200 91507
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/dist/css/skins/skin-blue.min.css HTTP/1.1" 200 3156
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/data-table/jquery.dataTables.min.css HTTP/1.1" 200 14111
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/data-table/jquery.dataTables.min.js HTTP/1.1" 200 86734
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/js/util.js HTTP/1.1" 200 552
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/js/CadastroProduto.js HTTP/1.1" 200 5659
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/js/CadastroUsuario.js HTTP/1.1" 200 6020
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/js/Vendas.js HTTP/1.1" 200 4899
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/js/Categoria.js HTTP/1.1" 200 5234
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/js/Fornecedor.js HTTP/1.1" 200 5594
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/js/ContasPagar.js HTTP/1.1" 200 5703
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/js/ContasReceber.js HTTP/1.1" 200 5797
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/js/bootstrap-notify.min.js HTTP/1.1" 200 8976
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/index.js HTTP/1.1" 200 5572
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/dist/img/avatar5.png HTTP/1.1" 200 7578
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/Controller?service=DadosSessao HTTP/1.1" 200 80
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/Controller?service=ListarProduto&identCad=&preCarQuantidade= HTTP/1.1" 200 619
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/bower_components/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/images/sort_both.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/images/sort_asc.png HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/index.html HTTP/1.1" 200 34678
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/bower_components/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 200 121205
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/bower_components/Ionicons/css/ionicons.min.css HTTP/1.1" 200 51295
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/bower_components/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 31004
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/dist/css/AdminLTE.min.css HTTP/1.1" 200 91507
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/dist/css/skins/skin-blue.min.css HTTP/1.1" 200 3156
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/data-table/jquery.dataTables.min.css HTTP/1.1" 200 14111
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/data-table/jquery.dataTables.min.js HTTP/1.1" 200 86734
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/js/util.js HTTP/1.1" 200 552
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/js/CadastroProduto.js HTTP/1.1" 200 5659
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/js/CadastroUsuario.js HTTP/1.1" 200 6020
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/js/Vendas.js HTTP/1.1" 200 4899
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/js/Categoria.js HTTP/1.1" 200 5234
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/js/Fornecedor.js HTTP/1.1" 200 5594
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/js/ContasPagar.js HTTP/1.1" 200 5703
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/js/ContasReceber.js HTTP/1.1" 200 5797
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/index.js HTTP/1.1" 200 5572
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/js/bootstrap-notify.min.js HTTP/1.1" 200 8976
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/dist/img/avatar5.png HTTP/1.1" 200 7578
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/bower_components/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/Controller?service=DadosSessao HTTP/1.1" 200 80
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/Controller?service=ListarProduto&identCad=&preCarQuantidade= HTTP/1.1" 200 619
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/images/sort_both.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:47 -0300] "GET /MakeAndCia/images/sort_asc.png HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:48 -0300] "GET /MakeAndCia/Controller?service=ListarContaReceber&identCad=&descricaoContasReceber=&valorContasReceber=&dataContasReceber=&statusContasReceber=A&parcelaContasReceber=1 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:58 -0300] "GET /MakeAndCia/Controller?service=InserirContaReceber&identCad=0&descricaoContasReceber=teste&valorContasReceber=12.121&dataContasReceber=2020-11-12&statusContasReceber=F&parcelaContasReceber=3 HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:53:58 -0300] "GET /MakeAndCia/Controller?service=ListarContaReceber&identCad=0&descricaoContasReceber=teste&valorContasReceber=12.121&dataContasReceber=2020-11-12&statusContasReceber=F&parcelaContasReceber=3 HTTP/1.1" 200 121
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:54:03 -0300] "GET /MakeAndCia/Controller?service=ConsultarContaReceber&identCad=1&descricaoContasReceber=&valorContasReceber=&dataContasReceber=&statusContasReceber=A&parcelaContasReceber=1 HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:56:21 -0300] "GET /MakeAndCia/Controller?service=ListarCategoria&identCad=&nomeCategoria=&descricaoCategoria= HTTP/1.1" 200 45
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:56:22 -0300] "GET /MakeAndCia/Controller?service=ListarFornecedor&identCad=&nomeFornecedor=&cnpjFornecedor=&enderecoFornecedor=&cidadeFornecedor=&telefoneFornecedor= HTTP/1.1" 200 207
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:56:24 -0300] "GET /MakeAndCia/Controller?service=ListarContaPagar&identCad=&descricaoContasPagar=&valorContasPagar=&dataContasPagar=&statusContasPagar=A&parcelaContasPagar=1 HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:56:34 -0300] "GET /MakeAndCia/Controller?service=ListarProduto&identCad=&preCarQuantidade= HTTP/1.1" 200 619
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:56:35 -0300] "GET /MakeAndCia/Controller?service=ListarProduto&identCad=&codigo=&descricao=&preco-custo=&preco-venda=&categoria=&fornecedor=&qtd-estoque= HTTP/1.1" 200 619
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:57:26 -0300] "GET /MakeAndCia/Controller?service=ListarContaReceber&identCad=1&descricaoContasReceber=teste&valorContasReceber=12.121&dataContasReceber=2020-11-12&statusContasReceber=F&parcelaContasReceber=3 HTTP/1.1" 200 121
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:57:28 -0300] "GET /MakeAndCia/Controller?service=ListarContaPagar&identCad=&descricaoContasPagar=&valorContasPagar=&dataContasPagar=&statusContasPagar=A&parcelaContasPagar=1 HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [17/Nov/2020:16:57:30 -0300] "GET /MakeAndCia/Controller?service=ListarContaReceber&identCad=1&descricaoContasReceber=teste&valorContasReceber=12.121&dataContasReceber=2020-11-12&statusContasReceber=F&parcelaContasReceber=3 HTTP/1.1" 200 121
0:0:0:0:0:0:0:1 - - [17/Nov/2020:17:00:35 -0300] "GET /MakeAndCia/Controller?service=ListarProduto&identCad=&preCarQuantidade= HTTP/1.1" 200 619
0:0:0:0:0:0:0:1 - - [17/Nov/2020:17:00:36 -0300] "GET /MakeAndCia/Controller?service=ListarProduto&identCad=&codigo=&descricao=&preco-custo=&preco-venda=&categoria=&fornecedor=&qtd-estoque= HTTP/1.1" 200 619
0:0:0:0:0:0:0:1 - - [17/Nov/2020:17:00:37 -0300] "GET /MakeAndCia/Controller?service=ListarUsuario&idUserCad=&nome=&login=thulio&senha=123&isAdmin= HTTP/1.1" 200 995
0:0:0:0:0:0:0:1 - - [17/Nov/2020:17:00:37 -0300] "GET /MakeAndCia/Controller?service=ListarCategoria&identCad=&nomeCategoria=&descricaoCategoria= HTTP/1.1" 200 45
0:0:0:0:0:0:0:1 - - [17/Nov/2020:17:00:38 -0300] "GET /MakeAndCia/Controller?service=ListarFornecedor&identCad=&nomeFornecedor=&cnpjFornecedor=&enderecoFornecedor=&cidadeFornecedor=&telefoneFornecedor= HTTP/1.1" 200 207
0:0:0:0:0:0:0:1 - - [17/Nov/2020:17:02:27 -0300] "GET /MakeAndCia/Controller?service=ListarContaReceber&identCad=0&descricaoContasReceber=&valorContasReceber=&dataContasReceber=&statusContasReceber=A&parcelaContasReceber=1 HTTP/1.1" 200 121
0:0:0:0:0:0:0:1 - - [17/Nov/2020:17:02:28 -0300] "GET /MakeAndCia/Controller?service=ListarContaPagar&identCad=&descricaoContasPagar=&valorContasPagar=&dataContasPagar=&statusContasPagar=A&parcelaContasPagar=1 HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [17/Nov/2020:17:02:29 -0300] "GET /MakeAndCia/Controller?service=ListarFornecedor&identCad=&nomeFornecedor=&cnpjFornecedor=&enderecoFornecedor=&cidadeFornecedor=&telefoneFornecedor= HTTP/1.1" 200 207
0:0:0:0:0:0:0:1 - - [17/Nov/2020:17:02:30 -0300] "GET /MakeAndCia/Controller?service=ListarContaPagar&identCad=&descricaoContasPagar=&valorContasPagar=&dataContasPagar=&statusContasPagar=A&parcelaContasPagar=1 HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [17/Nov/2020:17:04:08 -0300] "GET /MakeAndCia/index.html HTTP/1.1" 200 34672
0:0:0:0:0:0:0:1 - - [17/Nov/2020:17:04:08 -0300] "GET /MakeAndCia/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2020:17:04:08 -0300] "GET /MakeAndCia/js/ContasReceber.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2020:17:04:08 -0300] "GET /MakeAndCia/Controller?service=DadosSessao HTTP/1.1" 200 80
